utcDate, maxTemp, minTemp, avgTemp, endTS, prcp, 
2016-02-12UTC00:00:00, 71.7, 43.4, 57.5, 1455235200, 0, 
2016-02-13UTC00:00:00, 72.9, 41, 57, 1455321600, 0, 
2016-02-14UTC00:00:00, 76.4, 48.8, 62.6, 1455408000, 0, 
2016-02-15UTC00:00:00, 82.4, 50.4, 66.4, 1455494400, 0, 
2016-02-16UTC00:00:00, 75.7, 44.4, 60, 1455580800, 0, 
2016-02-17UTC00:00:00, 64.9, 49.1, 57, 1455667200, 0.35, 
2016-02-18UTC00:00:00, 60.4, 45.5, 52.9, 1455753600, 0.11, 
2016-02-19UTC00:00:00, 56.8, 41.8, 49.3, 1455840000, 0.08, 
2016-02-20UTC00:00:00, 61.3, 35.8, 48.5, 1455926400, 0, 
2016-02-21UTC00:00:00, 65.4, 35.4, 50.4, 1456012800, 0, 
2016-02-22UTC00:00:00, 71.8, 38.4, 55.1, 1456099200, 0, 
2016-02-23UTC00:00:00, 70.7, 38.8, 54.8, 1456185600, 0, 
2016-02-24UTC00:00:00, 70.6, 39.9, 55.3, 1456272000, 0, 
2016-02-25UTC00:00:00, 73, 42.3, 57.6, 1456358400, 0, 
2016-02-26UTC00:00:00, 68.7, 44.8, 56.7, 1456444800, 0, 
2016-02-27UTC00:00:00, 67.7, 46.3, 57, 1456531200, 0, 
2016-02-28UTC00:00:00, 67.3, 41.6, 54.5, 1456617600, 0, 
2016-02-29UTC00:00:00, 73.8, 43.3, 58.5, 1456704000, 0, 
2016-03-01UTC00:00:00, 72.2, 41.3, 56.8, 1456790400, 0.01, 
2016-03-02UTC00:00:00, 69.6, 48.2, 58.9, 1456876800, 0.01, 
2016-03-03UTC00:00:00, 68.3, 48.3, 58.3, 1456963200, 0.14, 
2016-03-04UTC00:00:00, 66.3, 44.2, 55.3, 1457049600, 0.08, 
2016-03-05UTC00:00:00, 64.1, 58, 61, 1457136000, 0.97, 
2016-03-06UTC00:00:00, 62.3, 51.8, 57, 1457222400, 1.69, 
2016-03-07UTC00:00:00, 60.9, 48.8, 54.9, 1457308800, 0.74, 
2016-03-08UTC00:00:00, 63, 49.3, 56.1, 1457395200, 0.85, 
2016-03-09UTC00:00:00, 63.2, 47, 55.1, 1457481600, 0, 
2016-03-10UTC00:00:00, 62.5, 48.2, 55.4, 1457568000, 0.17, 
2016-03-11UTC00:00:00, 64.4, 48.9, 56.6, 1457654400, 1.82, 
2016-03-12UTC00:00:00, 60, 47.8, 53.9, 1457740800, 0.56, 
2016-03-13UTC00:00:00, 59.9, 48.1, 54, 1457827200, 1.1, 
2016-03-14UTC00:00:00, 60.1, 41.6, 50.9, 1457913600, 0.24, 
2016-03-15UTC00:00:00, 61.8, 42.8, 52.3, 1458000000, -999.99, 
2016-03-16UTC00:00:00, 65.8, 43.8, 54.8, 1458086400, -999.99, 
2016-03-17UTC00:00:00, 64, 38.7, 51.4, 1458172800, -999.99, 
2016-03-18UTC00:00:00, 62.2, 41.7, 52, 1458259200, -999.99, 
2016-03-19UTC00:00:00, 60.9, 41.5, 51.2, 1458345600, -999.99, 
2016-03-20UTC00:00:00, 62.3, 42.1, 52.2, 1458432000, -999.99, 
2016-03-21UTC00:00:00, 63.5, 42.5, 53, 1458518400, -999.99, 
2016-03-22UTC00:00:00, 65.8, 43.4, 54.6, 1458604800, -999.99, 
2016-03-23UTC00:00:00, 66.7, 41.2, 54, 1458691200, -999.99, 
2016-03-24UTC00:00:00, 62.4, 43.7, 53, 1458777600, -999.99, 
2016-03-25UTC00:00:00, 68.8, 41.9, 55.4, 1458864000, -999.99, 
2016-03-26UTC00:00:00, 69.8, 40, 54.9, 1458950400, -999.99, 
2016-03-27UTC00:00:00, 67.4, 40.2, 53.8, 1459036800, -999.99, 
2016-03-28UTC00:00:00, 67.2, 42.6, 54.9, 1459123200, -999.99, 
2016-03-29UTC00:00:00, 69.5, 41.1, 55.3, 1459209600, -999.99, 
2016-03-30UTC00:00:00, 68.4, 42.3, 55.4, 1459296000, -999.99, 
2016-03-31UTC00:00:00, 67.1, 42.8, 55, 1459382400, -999.99, 
2016-04-01UTC00:00:00, 66.2, 41.3, 53.7, 1459468800, -999.99, 
2016-04-02UTC00:00:00, 67.6, 42, 54.8, 1459555200, -999.99, 
2016-04-03UTC00:00:00, 66.2, 39.3, 52.7, 1459641600, -999.99, 
2016-04-04UTC00:00:00, 65.4, 39.3, 52.3, 1459728000, -999.99, 
2016-04-05UTC00:00:00, 63, 42, 52.5, 1459814400, -999.99, 
2016-04-06UTC00:00:00, 63.6, 38.6, 51.1, 1459900800, -999.99, 
2016-04-07UTC00:00:00, 62.8, 40.9, 51.8, 1459987200, -999.99, 
2016-04-08UTC00:00:00, 64.4, 39.4, 51.9, 1460073600, -999.99, 
2016-04-09UTC00:00:00, 66.3, 39.1, 52.7, 1460160000, -999.99, 
2016-04-10UTC00:00:00, 64, 41.6, 52.8, 1460246400, -999.99, 
2016-04-11UTC00:00:00, 68.1, 42.1, 55.1, 1460332800, -999.99, 
2016-04-12UTC00:00:00, 70.2, 43.4, 56.8, 1460419200, -999.99, 
2016-04-13UTC00:00:00, 69.1, 42.9, 56, 1460505600, -999.99, 
2016-04-14UTC00:00:00, 68.9, 43, 56, 1460592000, -999.99, 
2016-04-15UTC00:00:00, 65.1, 43.8, 54.5, 1460678400, -999.99, 
2016-04-16UTC00:00:00, 63.4, 43.5, 53.4, 1460764800, -999.99, 
2016-04-17UTC00:00:00, 65.2, 43.5, 54.3, 1460851200, -999.99, 
2016-04-18UTC00:00:00, 67.5, 42.5, 55, 1460937600, -999.99, 
2016-04-19UTC00:00:00, 70.9, 44.4, 57.7, 1461024000, -999.99, 
2016-04-20UTC00:00:00, 70.2, 45.6, 57.9, 1461110400, -999.99, 
2016-04-21UTC00:00:00, 68.6, 44.4, 56.5, 1461196800, -999.99, 
2016-04-22UTC00:00:00, 71.2, 43.4, 57.3, 1461283200, -999.99, 
2016-04-23UTC00:00:00, 72.2, 45.5, 58.8, 1461369600, -999.99, 
2016-04-24UTC00:00:00, 72.3, 40.6, 56.5, 1461456000, -999.99, 
2016-04-25UTC00:00:00, 71.7, 43.5, 57.6, 1461542400, -999.99, 
2016-04-26UTC00:00:00, 72.6, 43.4, 58, 1461628800, -999.99, 
2016-04-27UTC00:00:00, 75.3, 42.2, 58.7, 1461715200, -999.99, 
2016-04-28UTC00:00:00, 72.8, 44.9, 58.8, 1461801600, -999.99, 
2016-04-29UTC00:00:00, 66.9, 44.1, 55.5, 1461888000, -999.99, 
2016-04-30UTC00:00:00, 64.5, 42.9, 53.7, 1461974400, -999.99, 
2016-05-01UTC00:00:00, 69.5, 44.8, 57.2, 1462060800, -999.99, 
2016-05-02UTC00:00:00, 74.2, 47.2, 60.7, 1462147200, -999.99, 
2016-05-03UTC00:00:00, 75, 45.2, 60.1, 1462233600, -999.99, 
2016-05-04UTC00:00:00, 80, 46.9, 63.4, 1462320000, -999.99, 
2016-05-05UTC00:00:00, 77.4, 46.1, 61.7, 1462406400, -999.99, 
2016-05-06UTC00:00:00, 77.8, 46.3, 62, 1462492800, -999.99, 
2016-05-07UTC00:00:00, 78.7, 48, 63.3, 1462579200, -999.99, 
2016-05-08UTC00:00:00, 80.1, 45.7, 62.9, 1462665600, -999.99, 
2016-05-09UTC00:00:00, 78.7, 45.9, 62.3, 1462752000, -999.99, 
2016-05-10UTC00:00:00, 79.4, 47.3, 63.3, 1462838400, -999.99, 
2016-05-11UTC00:00:00, 76.8, 46.3, 61.5, 1462924800, -999.99, 
2016-05-12UTC00:00:00, 75.1, 48, 61.5, 1463011200, -999.99, 
2016-05-13UTC00:00:00, 74.2, 47.3, 60.8, 1463097600, -999.99, 
2016-05-14UTC00:00:00, 74.5, 46.4, 60.5, 1463184000, -999.99, 
2016-05-15UTC00:00:00, 77.6, 49.7, 63.7, 1463270400, -999.99, 
2016-05-16UTC00:00:00, 77.4, 49, 63.2, 1463356800, -999.99, 
2016-05-17UTC00:00:00, 76.9, 49.5, 63.2, 1463443200, -999.99, 
2016-05-18UTC00:00:00, 76.4, 49.6, 63, 1463529600, -999.99, 
2016-05-19UTC00:00:00, 80.4, 50.3, 65.3, 1463616000, -999.99, 
2016-05-20UTC00:00:00, 77.9, 50.5, 64.2, 1463702400, -999.99, 
2016-05-21UTC00:00:00, 76.8, 51.1, 64, 1463788800, -999.99, 
2016-05-22UTC00:00:00, 78.6, 50.3, 64.4, 1463875200, -999.99, 
2016-05-23UTC00:00:00, 78.7, 50.6, 64.6, 1463961600, -999.99, 
2016-05-24UTC00:00:00, 79.5, 51.8, 65.7, 1464048000, -999.99, 
2016-05-25UTC00:00:00, 77.5, 52.4, 64.9, 1464134400, -999.99, 
2016-05-26UTC00:00:00, 77.2, 50.5, 63.8, 1464220800, -999.99, 
2016-05-27UTC00:00:00, 78.1, 52.5, 65.3, 1464307200, -999.99, 
2016-05-28UTC00:00:00, 79.4, 50.3, 64.9, 1464393600, -999.99, 
2016-05-29UTC00:00:00, 74.7, 49.3, 62, 1464480000, -999.99, 
2016-05-30UTC00:00:00, 77.5, 49, 63.2, 1464566400, -999.99, 
2016-05-31UTC00:00:00, 75.3, 49.4, 62.3, 1464652800, -999.99, 
2016-06-01UTC00:00:00, 75.9, 50.2, 63.1, 1464739200, -999.99, 
2016-06-02UTC00:00:00, 78.1, 49.7, 63.9, 1464825600, -999.99, 
2016-06-03UTC00:00:00, 78.4, 49.7, 64, 1464912000, -999.99, 
2016-06-04UTC00:00:00, 77.1, 50, 63.6, 1464998400, -999.99, 
2016-06-05UTC00:00:00, 77.5, 50.3, 63.9, 1465084800, -999.99, 
2016-06-06UTC00:00:00, 82.3, 49.8, 66.1, 1465171200, -999.99, 
2016-06-07UTC00:00:00, 77.4, 51.2, 64.3, 1465257600, -999.99, 
2016-06-08UTC00:00:00, 70.6, 50.1, 60.3, 1465344000, -999.99, 
2016-06-09UTC00:00:00, 73.3, 48.6, 60.9, 1465430400, -999.99, 
2016-06-10UTC00:00:00, 79.9, 48.4, 64.2, 1465516800, -999.99, 
2016-06-11UTC00:00:00, 83.4, 51.5, 67.4, 1465603200, -999.99, 
2016-06-12UTC00:00:00, 81.3, 51.9, 66.6, 1465689600, -999.99, 
2016-06-13UTC00:00:00, 83.4, 52, 67.7, 1465776000, -999.99, 
2016-06-14UTC00:00:00, 80.9, 51.4, 66.1, 1465862400, -999.99, 
2016-06-15UTC00:00:00, 83.2, 50.5, 66.9, 1465948800, -999.99, 
2016-06-16UTC00:00:00, 83.6, 51, 67.3, 1466035200, -999.99, 
2016-06-17UTC00:00:00, 84.3, 50.6, 67.5, 1466121600, -999.99, 
2016-06-18UTC00:00:00, 82.8, 52.5, 67.6, 1466208000, -999.99, 
2016-06-19UTC00:00:00, 81.4, 53, 67.2, 1466294400, -999.99, 
2016-06-20UTC00:00:00, 84, 51.2, 67.6, 1466380800, -999.99, 
2016-06-21UTC00:00:00, 86.5, 51.7, 69.1, 1466467200, -999.99, 
2016-06-22UTC00:00:00, 83.8, 51.4, 67.6, 1466553600, -999.99, 
2016-06-23UTC00:00:00, 81.1, 52.9, 67, 1466640000, -999.99, 
2016-06-24UTC00:00:00, 82.6, 52.2, 67.4, 1466726400, -999.99, 
2016-06-25UTC00:00:00, 86.7, 52.9, 69.8, 1466812800, -999.99, 
2016-06-26UTC00:00:00, 86.4, 51, 68.7, 1466899200, -999.99, 
2016-06-27UTC00:00:00, 86.9, 51.5, 69.2, 1466985600, -999.99, 
2016-06-28UTC00:00:00, 83.7, 54, 68.8, 1467072000, -999.99, 
2016-06-29UTC00:00:00, 81.8, 53.7, 67.7, 1467158400, -999.99, 
2016-06-30UTC00:00:00, 77.8, 52.4, 65.1, 1467244800, -999.99, 
2016-07-01UTC00:00:00, 86.8, 52.4, 69.6, 1467331200, -999.99, 
2016-07-02UTC00:00:00, 86.1, 52, 69, 1467417600, -999.99, 
2016-07-03UTC00:00:00, 85.6, 55.1, 70.4, 1467504000, -999.99, 
2016-07-04UTC00:00:00, 85.4, 54.8, 70.1, 1467590400, -999.99, 
2016-07-05UTC00:00:00, 84.5, 54.9, 69.7, 1467676800, -999.99, 
2016-07-06UTC00:00:00, 85.7, 55.1, 70.4, 1467763200, -999.99, 
2016-07-07UTC00:00:00, 87.9, 54.4, 71.1, 1467849600, -999.99, 
2016-07-08UTC00:00:00, 84.1, 53.3, 68.7, 1467936000, -999.99, 
2016-07-09UTC00:00:00, 92.1, 52.4, 72.3, 1468022400, -999.99, 
2016-07-10UTC00:00:00, 91.8, 52.2, 72, 1468108800, -999.99, 
2016-07-11UTC00:00:00, 89.6, 52.2, 70.9, 1468195200, -999.99, 
2016-07-12UTC00:00:00, 88, 53.6, 70.8, 1468281600, -999.99, 
2016-07-13UTC00:00:00, 84.5, 54.9, 69.7, 1468368000, -999.99, 
2016-07-14UTC00:00:00, 83.8, 54, 68.9, 1468454400, -999.99, 
2016-07-15UTC00:00:00, 86.2, 54.9, 70.5, 1468540800, -999.99, 
2016-07-16UTC00:00:00, 88.6, 52.6, 70.6, 1468627200, -999.99, 
2016-07-17UTC00:00:00, 85.1, 53.1, 69.1, 1468713600, -999.99, 
2016-07-18UTC00:00:00, 88.2, 53.3, 70.8, 1468800000, -999.99, 
2016-07-19UTC00:00:00, 87.8, 55.3, 71.5, 1468886400, -999.99, 
2016-07-20UTC00:00:00, 88.2, 53.2, 70.7, 1468972800, -999.99, 
2016-07-21UTC00:00:00, 87.3, 52.5, 69.9, 1469059200, -999.99, 
2016-07-22UTC00:00:00, 88.9, 52.9, 70.9, 1469145600, -999.99, 
2016-07-23UTC00:00:00, 87.7, 53.1, 70.4, 1469232000, -999.99, 
2016-07-24UTC00:00:00, 86.4, 53.7, 70.1, 1469318400, -999.99, 
2016-07-25UTC00:00:00, 86.5, 54.5, 70.5, 1469404800, -999.99, 
2016-07-26UTC00:00:00, 83.4, 55.4, 69.4, 1469491200, -999.99, 
2016-07-27UTC00:00:00, 81.1, 52.4, 66.8, 1469577600, -999.99, 
2016-07-28UTC00:00:00, 88.3, 54.3, 71.3, 1469664000, -999.99, 
2016-07-29UTC00:00:00, 79.6, 53.4, 66.5, 1469750400, -999.99, 
2016-07-30UTC00:00:00, 81.3, 52, 66.7, 1469836800, -999.99, 
2016-07-31UTC00:00:00, 82.1, 51, 66.5, 1469923200, -999.99, 
2016-08-01UTC00:00:00, 84, 52.8, 68.4, 1470009600, -999.99, 
2016-08-02UTC00:00:00, 82.9, 51, 66.9, 1470096000, -999.99, 
2016-08-03UTC00:00:00, 85.4, 50.5, 68, 1470182400, -999.99, 
2016-08-04UTC00:00:00, 87.3, 52, 69.6, 1470268800, -999.99, 
2016-08-05UTC00:00:00, 83.8, 52.4, 68.1, 1470355200, -999.99, 
2016-08-06UTC00:00:00, 80.9, 51.7, 66.3, 1470441600, -999.99, 
2016-08-07UTC00:00:00, 83.4, 50.6, 67, 1470528000, -999.99, 
2016-08-08UTC00:00:00, 83.1, 53.2, 68.1, 1470614400, -999.99, 
2016-08-09UTC00:00:00, 85.2, 52.5, 68.8, 1470700800, -999.99, 
2016-08-10UTC00:00:00, 84.9, 53.1, 69, 1470787200, -999.99, 
2016-08-11UTC00:00:00, 83.5, 52, 67.8, 1470873600, -999.99, 
2016-08-12UTC00:00:00, 82.8, 53.7, 68.2, 1470960000, -999.99, 
2016-08-13UTC00:00:00, 83.8, 52.2, 68, 1471046400, -999.99, 
2016-08-14UTC00:00:00, 85.1, 53.4, 69.2, 1471132800, -999.99, 
2016-08-15UTC00:00:00, 85.7, 52.2, 69, 1471219200, -999.99, 
2016-08-16UTC00:00:00, 79.1, 52.3, 65.7, 1471305600, -999.99, 
2016-08-17UTC00:00:00, 88.2, 52.9, 70.6, 1471392000, -999.99, 
2016-08-18UTC00:00:00, 87.5, 52.4, 70, 1471478400, -999.99, 
2016-08-19UTC00:00:00, 88.6, 51.4, 70, 1471564800, -999.99, 
2016-08-20UTC00:00:00, 91, 51.4, 71.2, 1471651200, -999.99, 
2016-08-21UTC00:00:00, 81.9, 49.5, 65.7, 1471737600, -999.99, 
2016-08-22UTC00:00:00, 85.9, 49.8, 67.9, 1471824000, -999.99, 
2016-08-23UTC00:00:00, 86.1, 49.2, 67.6, 1471910400, -999.99, 
2016-08-24UTC00:00:00, 83.2, 49.7, 66.4, 1471996800, -999.99, 
2016-08-25UTC00:00:00, 83.3, 50.1, 66.7, 1472083200, -999.99, 
2016-08-26UTC00:00:00, 85.5, 49.6, 67.5, 1472169600, -999.99, 
2016-08-27UTC00:00:00, 80.6, 50.3, 65.4, 1472256000, -999.99, 
2016-08-28UTC00:00:00, 82.8, 51.8, 67.3, 1472342400, -999.99, 
2016-08-29UTC00:00:00, 86.1, 50.9, 68.5, 1472428800, -999.99, 
2016-08-30UTC00:00:00, 83.8, 52, 67.9, 1472515200, -999.99, 
2016-08-31UTC00:00:00, 84.7, 51.8, 68.2, 1472601600, -999.99, 
2016-09-01UTC00:00:00, 87.4, 52.1, 69.8, 1472688000, -999.99, 
2016-09-02UTC00:00:00, 89.9, 52.2, 71, 1472774400, -999.99, 
2016-09-03UTC00:00:00, 87.8, 51.9, 69.8, 1472860800, -999.99, 
2016-09-04UTC00:00:00, 85.9, 51.2, 68.5, 1472947200, -999.99, 
2016-09-05UTC00:00:00, 85.6, 51.3, 68.5, 1473033600, -999.99, 
2016-09-06UTC00:00:00, 86.4, 51.4, 68.9, 1473120000, -999.99, 
2016-09-07UTC00:00:00, 87.6, 51.3, 69.4, 1473206400, -999.99, 
2016-09-08UTC00:00:00, 88, 51.9, 69.9, 1473292800, -999.99, 
2016-09-09UTC00:00:00, 88.4, 51.9, 70.2, 1473379200, -999.99, 
2016-09-10UTC00:00:00, 75.8, 52.4, 64.1, 1473465600, -999.99, 
2016-09-11UTC00:00:00, 76.5, 51.9, 64.2, 1473552000, -999.99, 
2016-09-12UTC00:00:00, 79, 51.9, 65.4, 1473638400, -999.99, 
2016-09-13UTC00:00:00, 78.6, 47.9, 63.3, 1473724800, -999.99, 
2016-09-14UTC00:00:00, 78.9, 48, 63.5, 1473811200, -999.99, 
2016-09-15UTC00:00:00, 80.6, 50.9, 65.7, 1473897600, -999.99, 
2016-09-16UTC00:00:00, 78.7, 50.4, 64.5, 1473984000, -999.99, 
2016-09-17UTC00:00:00, 82.1, 47.9, 65, 1474070400, -999.99, 
2016-09-18UTC00:00:00, 82.6, 51.9, 67.3, 1474156800, -999.99, 
2016-09-19UTC00:00:00, 85.8, 51, 68.4, 1474243200, -999.99, 
2016-09-20UTC00:00:00, 86.6, 48, 67.3, 1474329600, -999.99, 
2016-09-21UTC00:00:00, 86.9, 46.8, 66.9, 1474416000, -999.99, 
2016-09-22UTC00:00:00, 80.5, 50.1, 65.3, 1474502400, -999.99, 
2016-09-23UTC00:00:00, 84.1, 50.1, 67.1, 1474588800, -999.99, 
2016-09-24UTC00:00:00, 85.7, 45.7, 65.7, 1474675200, -999.99, 
2016-09-25UTC00:00:00, 85.2, 49.5, 67.4, 1474761600, -999.99, 
2016-09-26UTC00:00:00, 85.5, 46.4, 65.9, 1474848000, -999.99, 
2016-09-27UTC00:00:00, 84.5, 47.5, 66, 1474934400, -999.99, 
2016-09-28UTC00:00:00, 83.1, 46.7, 64.9, 1475020800, -999.99, 
2016-09-29UTC00:00:00, 81.3, 46.5, 63.9, 1475107200, -999.99, 
2016-09-30UTC00:00:00, 78.7, 47.8, 63.2, 1475193600, -999.99, 
2016-10-01UTC00:00:00, 80.1, 46.3, 63.2, 1475280000, -999.99, 
2016-10-02UTC00:00:00, 74.7, 47.7, 61.2, 1475366400, -999.99, 
2016-10-03UTC00:00:00, 73.9, 47.5, 60.7, 1475452800, -999.99, 
2016-10-04UTC00:00:00, 75.4, 48.5, 62, 1475539200, -999.99, 
2016-10-05UTC00:00:00, 80.5, 48.1, 64.3, 1475625600, -999.99, 
2016-10-06UTC00:00:00, 79.4, 48.9, 64.1, 1475712000, -999.99, 
2016-10-07UTC00:00:00, 73.7, 47.4, 60.5, 1475798400, -999.99, 
2016-10-08UTC00:00:00, 70.3, 47, 58.6, 1475884800, -999.99, 
2016-10-09UTC00:00:00, 78.2, 47.2, 62.7, 1475971200, -999.99, 
2016-10-10UTC00:00:00, 77.7, 45.2, 61.5, 1476057600, -999.99, 
2016-10-11UTC00:00:00, 72.8, 47.4, 60.1, 1476144000, -999.99, 
2016-10-12UTC00:00:00, 68, 47.5, 57.8, 1476230400, -999.99, 
2016-10-13UTC00:00:00, 69, 48.7, 58.8, 1476316800, -999.99, 
2016-10-14UTC00:00:00, 80.5, 42.6, 61.5, 1476403200, -999.99, 
2016-10-15UTC00:00:00, 79.3, 43.4, 61.3, 1476489600, -999.99, 
2016-10-16UTC00:00:00, 77.6, 48.7, 63.1, 1476576000, -999.99, 
2016-10-17UTC00:00:00, 77.5, 45.5, 61.5, 1476662400, -999.99, 
2016-10-18UTC00:00:00, 75.1, 44, 59.6, 1476748800, -999.99, 
2016-10-19UTC00:00:00, 75.9, 46.8, 61.4, 1476835200, -999.99, 
2016-10-20UTC00:00:00, 77.6, 45.5, 61.6, 1476921600, -999.99, 
2016-10-21UTC00:00:00, 77, 45.7, 61.4, 1477008000, -999.99, 
2016-10-22UTC00:00:00, 73.1, 45, 59.1, 1477094400, -999.99, 
2016-10-23UTC00:00:00, 74, 44.9, 59.5, 1477180800, -999.99, 
2016-10-24UTC00:00:00, 73.2, 43, 58.1, 1477267200, -999.99, 
2016-10-25UTC00:00:00, 73, 40.9, 57, 1477353600, -999.99, 
2016-10-26UTC00:00:00, 73.4, 43.8, 58.6, 1477440000, -999.99, 
2016-10-27UTC00:00:00, 70.9, 44.6, 57.8, 1477526400, -999.99, 
2016-10-28UTC00:00:00, 69.3, 45.3, 57.3, 1477612800, -999.99, 
2016-10-29UTC00:00:00, 65.5, 42.8, 54.2, 1477699200, -999.99, 
2016-10-30UTC00:00:00, 67.5, 42.1, 54.8, 1477785600, -999.99, 
2016-10-31UTC00:00:00, 74.9, 42.6, 58.7, 1477872000, -999.99, 
2016-11-01UTC00:00:00, 71, 46.3, 58.6, 1477958400, -999.99, 
2016-11-02UTC00:00:00, 69.9, 45.5, 57.7, 1478044800, -999.99, 
2016-11-03UTC00:00:00, 69.6, 44.6, 57.1, 1478131200, -999.99, 
2016-11-04UTC00:00:00, 69.2, 42.8, 56, 1478217600, -999.99, 
2016-11-05UTC00:00:00, 69.6, 41.9, 55.7, 1478304000, -999.99, 
2016-11-06UTC00:00:00, 68.1, 41.5, 54.8, 1478390400, -999.99, 
2016-11-07UTC00:00:00, 69.8, 41.5, 55.6, 1478476800, -999.99, 
2016-11-08UTC00:00:00, 68.3, 42.8, 55.5, 1478563200, -999.99, 
2016-11-09UTC00:00:00, 66.1, 42.6, 54.4, 1478649600, -999.99, 
2016-11-10UTC00:00:00, 66.8, 41.3, 54, 1478736000, -999.99, 
2016-11-11UTC00:00:00, 70, 40.2, 55.1, 1478822400, -999.99, 
2016-11-12UTC00:00:00, 67, 40.2, 53.6, 1478908800, -999.99, 
2016-11-13UTC00:00:00, 67.8, 40.3, 54, 1478995200, -999.99, 
2016-11-14UTC00:00:00, 66.5, 40.6, 53.5, 1479081600, -999.99, 
2016-11-15UTC00:00:00, 65, 42.2, 53.6, 1479168000, -999.99, 
2016-11-16UTC00:00:00, 66.1, 41, 53.5, 1479254400, -999.99, 
2016-11-17UTC00:00:00, 64, 42.8, 53.4, 1479340800, -999.99, 
2016-11-18UTC00:00:00, 66.8, 41.4, 54.1, 1479427200, -999.99, 
2016-11-19UTC00:00:00, 66.9, 39.5, 53.2, 1479513600, -999.99, 
2016-11-20UTC00:00:00, 67.7, 38.5, 53.1, 1479600000, -999.99, 
2016-11-21UTC00:00:00, 66, 40.8, 53.4, 1479686400, -999.99, 
2016-11-22UTC00:00:00, 61.6, 40.6, 51.1, 1479772800, -999.99, 
2016-11-23UTC00:00:00, 63.1, 39.4, 51.2, 1479859200, -999.99, 
2016-11-24UTC00:00:00, 61.8, 40, 50.9, 1479945600, -999.99, 
2016-11-25UTC00:00:00, 60.9, 37.1, 49, 1480032000, -999.99, 
2016-11-26UTC00:00:00, 60.8, 38.1, 49.4, 1480118400, -999.99, 
2016-11-27UTC00:00:00, 61.6, 38.5, 50.1, 1480204800, -999.99, 
2016-11-28UTC00:00:00, 60.2, 36.8, 48.5, 1480291200, -999.99, 
2016-11-29UTC00:00:00, 60.1, 34.5, 47.3, 1480377600, -999.99, 
2016-11-30UTC00:00:00, 58.5, 35.1, 46.8, 1480464000, -999.99, 
2016-12-01UTC00:00:00, 60.7, 36.1, 48.4, 1480550400, -999.99, 
2016-12-02UTC00:00:00, 60, 34.6, 47.3, 1480636800, -999.99, 
2016-12-03UTC00:00:00, 58.9, 34.7, 46.8, 1480723200, -999.99, 
2016-12-04UTC00:00:00, 58.7, 39, 48.9, 1480809600, -999.99, 
2016-12-05UTC00:00:00, 58, 38.9, 48.4, 1480896000, -999.99, 
2016-12-06UTC00:00:00, 57.1, 32.3, 44.7, 1480982400, -999.99, 
2016-12-07UTC00:00:00, 56.9, 31.1, 44, 1481068800, -999.99, 
2016-12-08UTC00:00:00, 56.7, 30.2, 43.4, 1481155200, -999.99, 
2016-12-09UTC00:00:00, 56.9, 28.8, 42.9, 1481241600, -999.99, 
2016-12-10UTC00:00:00, 58.2, 30.3, 44.2, 1481328000, -999.99, 
2016-12-11UTC00:00:00, 57, 32.9, 44.9, 1481414400, -999.99, 
2016-12-12UTC00:00:00, 56.6, 37.3, 47, 1481500800, -999.99, 
2016-12-13UTC00:00:00, 56.6, 33.9, 45.3, 1481587200, -999.99, 
2016-12-14UTC00:00:00, 56.9, 37.1, 47, 1481673600, -999.99, 
2016-12-15UTC00:00:00, 57.2, 36, 46.6, 1481760000, -999.99, 
2016-12-16UTC00:00:00, 56.6, 34.9, 45.7, 1481846400, -999.99, 
2016-12-17UTC00:00:00, 55.9, 37.6, 46.8, 1481932800, -999.99, 
2016-12-18UTC00:00:00, 56.1, 33.5, 44.8, 1482019200, -999.99, 
2016-12-19UTC00:00:00, 56.6, 36.7, 46.7, 1482105600, -999.99, 
